Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-26 05:00:00+00:00,2494.68,2496.8,2494.68,2496.69,2496.69,0
2022-01-26 05:05:00+00:00,2495.8,2495.8,2490.3,2490.3,2490.3,0
2022-01-26 05:10:00+00:00,2488.86,2488.86,2487.04,2487.04,2487.04,120398848
2022-01-26 05:15:00+00:00,2486.79,2486.79,2485.46,2486.21,2486.21,0
2022-01-26 05:20:00+00:00,2486.19,2487.7,2486.19,2487.7,2487.7,0
2022-01-26 05:25:00+00:00,2487.65,2487.69,2486.63,2486.63,2486.63,103701504
2022-01-26 05:30:00+00:00,2487.63,2488.47,2486.01,2486.01,2486.01,6212608
2022-01-26 05:35:00+00:00,2485.45,2485.99,2485.45,2485.92,2485.92,0
2022-01-26 05:40:00+00:00,2486.21,2488.95,2486.21,2488.95,2488.95,0
2022-01-26 05:45:00+00:00,2489.27,2492.66,2489.27,2492.66,2492.66,63250432
2022-01-26 05:50:00+00:00,2492.04,2492.04,2486.71,2486.71,2486.71,0
2022-01-26 05:55:00+00:00,2483.37,2483.37,2480.19,2480.19,2480.19,106583040
2022-01-26 06:00:00+00:00,2480.23,2480.23,2479.17,2480.11,2480.11,0
2022-01-26 06:05:00+00:00,2478.83,2479.22,2478.18,2479.03,2479.03,0
2022-01-26 06:10:00+00:00,2479.22,2479.47,2479.02,2479.02,2479.02,0
2022-01-26 06:15:00+00:00,2478.7,2482.92,2477.73,2482.92,2482.92,0
2022-01-26 06:20:00+00:00,2483.05,2483.05,2481.09,2481.09,2481.09,0
2022-01-26 06:25:00+00:00,2480.75,2480.75,2475.5,2475.5,2475.5,93582336
2022-01-26 06:30:00+00:00,2474.33,2474.33,2467.01,2467.01,2467.01,0
2022-01-26 06:35:00+00:00,2465.81,2465.81,2462.22,2462.53,2462.53,0
2022-01-26 06:40:00+00:00,2462.55,2462.55,2461.86,2461.94,2461.94,144711680
2022-01-26 06:45:00+00:00,2461.82,2461.82,2455.84,2455.84,2455.84,0
2022-01-26 06:50:00+00:00,2454.99,2454.99,2452.73,2453.94,2453.94,2751488
2022-01-26 06:55:00+00:00,2455.05,2455.05,2453.32,2453.34,2453.34,0
2022-01-26 07:00:00+00:00,2453.04,2453.77,2451.24,2451.24,2451.24,0
2022-01-26 07:05:00+00:00,2450.69,2450.84,2449.65,2449.87,2449.87,0
2022-01-26 07:10:00+00:00,2450.15,2451.17,2450.15,2450.3,2450.3,120448000
2022-01-26 07:15:00+00:00,2450.34,2451.55,2449.55,2451.55,2451.55,0
2022-01-26 07:20:00+00:00,2452.55,2455.91,2452.55,2455.91,2455.91,42348544
2022-01-26 07:25:00+00:00,2455.94,2455.94,2453.88,2454.14,2454.14,0
